"Label (Grouping)","Howard County, Maryland"
"Total:","287,085"
"    Population of one race:","276,630"
"        White alone","178,523"
"        Black or African American alone","50,188"
"        American Indian and Alaska Native alone","866"
"        Asian alone","41,221"
"        Native Hawaiian and Other Pacific Islander alone","123"
"        Some Other Race alone","5,709"
"    Two or More Races:","10,455"
"        Population of two races:","9,485"
"            White; Black or African American","2,889"
"            White; American Indian and Alaska Native","772"
"            White; Asian","3,173"
"            White; Native Hawaiian and Other Pacific Islander","74"
"            White; Some Other Race","674"
"            Black or African American; American Indian and Alaska Native","482"
"            Black or African American; Asian","428"
"            Black or African American; Native Hawaiian and Other Pacific Islander","46"
"            Black or African American; Some Other Race","239"
"            American Indian and Alaska Native; Asian","76"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","2"
"            American Indian and Alaska Native; Some Other Race","42"
"            Asian; Native Hawaiian and Other Pacific Islander","115"
"            Asian; Some Other Race","461"
"            Native Hawaiian and Other Pacific Islander; Some Other Race","12"
"        Population of three races:","885"
"            White; Black or African American; American Indian and Alaska Native","468"
"            White; Black or African American; Asian","138"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander","7"
"            White; Black or African American; Some Other Race","60"
"            White; American Indian and Alaska Native; Asian","37"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","4"
"            White; American Indian and Alaska Native; Some Other Race","13"
"            White; Asian; Native Hawaiian and Other Pacific Islander","51"
"            White; Asian; Some Other Race","45"
"            White; Native Hawaiian and Other Pacific Islander; Some Other Race","5"
"            Black or African American; American Indian and Alaska Native; Asian","19"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","7"
"            Black or African American; American Indian and Alaska Native; Some Other Race","15"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander","4"
"            Black or African American; Asian; Some Other Race","4"
"            Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","4"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","1"
"            American Indian and Alaska Native; Asian; Some Other Race","3"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"        Population of four races:","68"
"            White; Black or African American; American Indian and Alaska Native; Asian","45"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","4"
"            White; Black or African American; American Indian and Alaska Native; Some Other Race","11"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander","0"
"            White; Black or African American; Asian; Some Other Race","4"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","2"
"            White; American Indian and Alaska Native; Asian; Some Other Race","0"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","0"
"            Black or African American; American Indian and Alaska Native; Asian; Some Other Race","1"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","1"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"        Population of five races:","17"
"            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","16"
"            White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race","1"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"        Population of six races:","0"
"            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
