"Label (Grouping)","Howard County, Maryland"
"Total:","332,317"
"    Population of one race:","305,197"
"        White alone","159,329"
"        Black or African American alone","65,275"
"        American Indian and Alaska Native alone","1,190"
"        Asian alone","66,288"
"        Native Hawaiian and Other Pacific Islander alone","134"
"        Some Other Race alone","12,981"
"    Population of two or more races:","27,120"
"        Population of two races:","24,827"
"            White; Black or African American","4,503"
"            White; American Indian and Alaska Native","1,946"
"            White; Asian","5,198"
"            White; Native Hawaiian and Other Pacific Islander","126"
"            White; Some Other Race","9,727"
"            Black or African American; American Indian and Alaska Native","640"
"            Black or African American; Asian","730"
"            Black or African American; Native Hawaiian and Other Pacific Islander","35"
"            Black or African American; Some Other Race","1,171"
"            American Indian and Alaska Native; Asian","71"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","6"
"            American Indian and Alaska Native; Some Other Race","301"
"            Asian; Native Hawaiian and Other Pacific Islander","116"
"            Asian; Some Other Race","237"
"            Native Hawaiian and Other Pacific Islander; Some Other Race","20"
"        Population of three races:","1,983"
"            White; Black or African American; American Indian and Alaska Native","548"
"            White; Black or African American; Asian","325"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander","16"
"            White; Black or African American; Some Other Race","337"
"            White; American Indian and Alaska Native; Asian","85"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","7"
"            White; American Indian and Alaska Native; Some Other Race","332"
"            White; Asian; Native Hawaiian and Other Pacific Islander","89"
"            White; Asian; Some Other Race","143"
"            White; Native Hawaiian and Other Pacific Islander; Some Other Race","2"
"            Black or African American; American Indian and Alaska Native; Asian","17"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","1"
"            Black or African American; American Indian and Alaska Native; Some Other Race","12"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander","4"
"            Black or African American; Asian; Some Other Race","40"
"            Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","10"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","0"
"            American Indian and Alaska Native; Asian; Some Other Race","9"
"            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","6"
"        Population of four races:","280"
"            White; Black or African American; American Indian and Alaska Native; Asian","53"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","1"
"            White; Black or African American; American Indian and Alaska Native; Some Other Race","184"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander","3"
"            White; Black or African American; Asian; Some Other Race","18"
"            White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","5"
"            White; American Indian and Alaska Native; Asian; Some Other Race","10"
"            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","2"
"            White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","2"
"            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","2"
"            Black or African American; American Indian and Alaska Native; Asian; Some Other Race","0"
"            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"        Population of five races:","30"
"            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","8"
"            White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race","18"
"            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","3"
"            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","1"
"            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
"        Population of six races:","0"
"            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","0"
