Academic Year,LSS Number,LSS Name,School Number,School Name,Total HS Completers,Diploma Count ,Diploma Pct,Certificate Count,Certificate Pct,Create Date 
2020,01,Allegany,0405,Fort Hill High,149,136,91.3,13,8.7,20210513
2020,01,Allegany,0601,Center for Career & Technical Education,77,*,>= 95.0,*,<= 5.0,20210513
2020,01,Allegany,0606,Allegany High,169,*,>= 95.0,*,<= 5.0,20210513
2020,01,Allegany,2404,Mountain Ridge High School,158,*,>= 95.0,*,<= 5.0,20210513
2020,01,Allegany,A,All Allegany Schools,553,*,>= 95.0,*,<= 5.0,20210513
2020,02,Anne Arundel,1033,Glen Burnie High,422,*,>= 95.0,*,<= 5.0,20210513
2020,02,Anne Arundel,1323,North County High,506,*,>= 95.0,*,<= 5.0,20210513
2020,02,Anne Arundel,2013,Severna Park High,435,*,>= 95.0,*,<= 5.0,20210513
2020,02,Anne Arundel,2023,Northeast High,332,*,>= 95.0,*,<= 5.0,20210513
2020,02,Anne Arundel,2233,Anne Arundel Evening High,118,*,>= 95.0,*,<= 5.0,20210513
2020,02,Anne Arundel,2273,Chesapeake High,334,*,>= 95.0,*,<= 5.0,20210513
2020,02,Anne Arundel,2363,Broadneck High,520,*,>= 95.0,*,<= 5.0,20210513
2020,02,Anne Arundel,3013,Arundel High,537,*,>= 95.0,*,<= 5.0,20210513
2020,02,Anne Arundel,3323,Meade High,419,*,>= 95.0,*,<= 5.0,20210513
2020,02,Anne Arundel,3353,Old Mill High,527,*,>= 95.0,*,<= 5.0,20210513
2020,02,Anne Arundel,3414,Ruth Parker Eason School,*,*,*,*,*,20210513
2020,02,Anne Arundel,4013,Annapolis High,461,*,>= 95.0,*,<= 5.0,20210513
2020,02,Anne Arundel,4023,Southern High,238,*,>= 95.0,*,<= 5.0,20210513
2020,02,Anne Arundel,4074,Phoenix Academy,20,*,>= 95.0,*,<= 5.0,20210513
2020,02,Anne Arundel,4293,South River High,523,*,>= 95.0,*,<= 5.0,20210513
2020,02,Anne Arundel,4304,Central Special School,*,*,*,*,*,20210513
2020,02,Anne Arundel,6223,Chesapeake Science Point,50,*,>= 95.0,*,<= 5.0,20210513
2020,02,Anne Arundel,A,All Anne Arundel Schools,5452,*,>= 95.0,*,<= 5.0,20210513
2020,03,Baltimore County,0072,Rosedale Center,*,*,*,*,*,20210513
2020,03,Baltimore County,0111,Maiden Choice School,*,*,*,*,*,20210513
2020,03,Baltimore County,0172,Woodlawn High Center for Pre-Eng. Res.,366,*,>= 95.0,*,<= 5.0,20210513
2020,03,Baltimore County,0174,Catonsville High,413,*,>= 95.0,*,<= 5.0,20210513
2020,03,Baltimore County,0175,Western School of Technology & Env. Science,207,*,>= 95.0,*,<= 5.0,20210513
