Academic Year ,LSS Number ,LSS Name ,School Number ,School Name ,Student Group ,Tested Count ,Proficient Count , Proficient Percent ,Create Date 
2020,01,Allegany,0301,Flintstone Elementary,All,*,*,*,20230914
2020,01,Allegany,0301,Flintstone Elementary,Students with Disabilities,*,*,*,20230914
2020,01,Allegany,0405,Fort Hill High,All,*,*,*,20230914
2020,01,Allegany,0405,Fort Hill High,Students with Disabilities,*,*,*,20230914
2020,01,Allegany,0406,Washington Middle,All,*,*,*,20230914
2020,01,Allegany,0406,Washington Middle,Students with Disabilities,*,*,*,20230914
2020,01,Allegany,0504,Braddock Middle,All,*,*,*,20230914
2020,01,Allegany,0603,West Side Elementary,All,*,*,*,20230914
2020,01,Allegany,0606,Allegany High,All,*,*,*,20230914
2020,01,Allegany,0702,Bel Air Elementary,All,*,*,*,20230914
2020,01,Allegany,2801,Beall Elementary,All,*,*,*,20230914
2020,01,Allegany,2901,Cash Valley Elementary,All,*,*,*,20230914
2020,01,Allegany,2901,Cash Valley Elementary,Students with Disabilities,*,*,*,20230914
2020,01,Allegany,2902,Parkside Elementary,All,*,*,*,20230914
2020,01,Allegany,A,All Allegany Schools,All,15,1,6.7,20230914
2020,01,Allegany,A,All Allegany Schools,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,1023,Brooklyn Park Middle,All,56,*,<= 5.0,20230914
2020,02,Anne Arundel,1023,Brooklyn Park Middle,Students with Disabilities,*,*,<= 5.0,20230914
2020,02,Anne Arundel,1033,Glen Burnie High,All,155,*,<= 5.0,20230914
2020,02,Anne Arundel,1033,Glen Burnie High,Students with Disabilities,*,*,<= 5.0,20230914
2020,02,Anne Arundel,1043,Corkran Middle School,All,53,3,5.7,20230914
2020,02,Anne Arundel,1043,Corkran Middle School,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,1053,Lindale Middle,All,72,4,5.6,20230914
2020,02,Anne Arundel,1053,Lindale Middle,Students with Disabilities,15,1,6.7,20230914
2020,02,Anne Arundel,1063,Marley Middle,All,77,*,<= 5.0,20230914
2020,02,Anne Arundel,1063,Marley Middle,Students with Disabilities,*,*,<= 5.0,20230914
2020,02,Anne Arundel,1082,Belle Grove Elementary,All,44,*,<= 5.0,20230914
2020,02,Anne Arundel,1082,Belle Grove Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,1092,Brooklyn Park Elementary,All,63,6,9.5,20230914
2020,02,Anne Arundel,1092,Brooklyn Park Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,1102,Ferndale Early Education Center,All,*,*,*,20230914
2020,02,Anne Arundel,1102,Ferndale Early Education Center,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,1112,George T. Cromwell Elementary,All,44,10,22.7,20230914
2020,02,Anne Arundel,1112,George T. Cromwell Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,1122,Freetown Elementary,All,53,3,5.7,20230914
2020,02,Anne Arundel,1122,Freetown Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,1132,Glendale Elementary,All,73,8,11.0,20230914
2020,02,Anne Arundel,1132,Glendale Elementary,Students with Disabilities,*,*,*,20230914
2020,02,Anne Arundel,1142,Hilltop Elementary,All,138,13,9.4,20230914
2020,02,Anne Arundel,1142,Hilltop Elementary,Students with Disabilities,*,*,*,20230914
